x_position,y_position,x_velocity,y_velocity,angle,angular_velocity,action,episode_reward,score
-0.01582355424761772,1.4137893915176392,-0.8002786636352539,0.06203700229525566,0.018143851310014725,0.17941029369831085,0,-0.9088540003106402,-0.9088540003106402
-0.023735905066132545,1.4150912761688232,-0.8003069758415222,0.05772387608885765,0.027108166366815567,0.1793031394481659,0,-1.917169137311106,-1.917169137311106
-0.03164853900671005,1.4162969589233398,-0.8003333210945129,0.053393807262182236,0.03607132285833359,0.17927983403205872,0,-2.9221379930147293,-2.9221379930147293
-0.03956155851483345,1.4174063205718994,-0.8003595471382141,0.0490664504468441,0.0450330413877964,0.17925094068050385,0,-3.9240639128937573,-3.9240639128937573
-0.04747486114501953,1.4184198379516602,-0.8003858327865601,0.04473898187279701,0.05399331450462341,0.1792217344045639,0,-4.922982332390035,-4.922982332390035
-0.055388450622558594,1.4193367958068848,-0.8004119992256165,0.04041127860546112,0.06295210868120193,0.17919285595417023,0,-5.91878519923992,-5.91878519923992
-0.0633024200797081,1.420157551765442,-0.8004379272460938,0.036083292216062546,0.07190947979688644,0.17916394770145416,0,-6.911518492263866,-6.911518492263866
-0.07121668010950089,1.4208824634552002,-0.8004637956619263,0.03175503388047218,0.08086541295051575,0.17913517355918884,0,-7.901202813564481,-7.901202813564481
-0.07913122326135635,1.421510934829712,-0.8004894256591797,0.027426503598690033,0.08981990069150925,0.1791064590215683,0,-8.887799082909652,-8.887799082909652
-0.08704624325037003,1.4220433235168457,-0.8005148768424988,0.023097718134522438,0.09877296537160873,0.1790778785943985,0,-9.871311648876258,-9.871311648876258
-0.09496154636144638,1.4224793910980225,-0.8005400896072388,0.0187686700373888,0.1077246218919754,0.17904938757419586,0,-10.851747836008855,-10.851747836008855
-0.10287714004516602,1.4228194952011108,-0.8005651235580444,0.014439360238611698,0.11667484045028687,0.179020956158638,0,-11.829126953340136,-11.829126953340136
-0.1107931137084961,1.4230632781982422,-0.800589919090271,0.010109792463481426,0.1256236433982849,0.17899265885353088,0,-12.803423030780976,-12.803423030780976
-0.11870956420898438,1.4232107400894165,-0.8006146550178528,0.005779967177659273,0.13457106053829193,0.17896446585655212,0,-13.774664618691162,-13.774664618691162
-0.12662629783153534,1.423262119293213,-0.8006390333175659,0.0014498926466330886,0.14351707696914673,0.17893633246421814,0,-14.742850729375476,-14.742850729375476
-0.13454341888427734,1.4232171773910522,-0.8006632924079895,-0.002880427520722151,0.1524616926908493,0.1789083480834961,0,-15.707985373809919,-15.707985373809919
-0.1424609124660492,1.4230759143829346,-0.800687313079834,-0.007210997398942709,0.16140489280223846,0.1788804680109024,0,-16.670076209472455,-16.670076209472455
-0.15037879347801208,1.4228386878967285,-0.8007111549377441,-0.011541810818016529,0.1703467220067978,0.17885267734527588,0,-17.629152226860867,-17.629152226860867
-0.15829697251319885,1.4225049018859863,-0.8007346987724304,-0.01587286964058876,0.1792871505022049,0.1788249909877777,0,-18.5851828447735,-18.5851828447735
-0.16630402207374573,1.4220597743988037,-0.8118255734443665,-0.021170517429709435,0.19047342240810394,0.22374530136585236,1,-20.9013143646373,-20.9013143646373
-0.174373060464859,1.4214929342269897,-0.8195956349372864,-0.026875967159867287,0.20327766239643097,0.2561076879501343,1,-23.04491055517454,-23.04491055517454
-0.18250617384910583,1.4208134412765503,-0.827631950378418,-0.03222684934735298,0.21772737801074982,0.2890201807022095,1,-25.37608456160919,-25.37608456160919
-0.1907169371843338,1.4200114011764526,-0.8373069763183594,-0.03812306374311447,0.2341870814561844,0.3292236030101776,1,-28.071008139795055,-28.071008139795055
-0.19899597764015198,1.4190831184387207,-0.8458322286605835,-0.0442177839577198,0.25245004892349243,0.3652914762496948,1,-30.829213728870087,-30.829213728870087
-0.20734553039073944,1.4180253744125366,-0.8552017211914062,-0.05062997713685036,0.2731562852859497,0.4141405522823334,1,-33.91469753975494,-33.91469753975494
-0.21577715873718262,1.4168384075164795,-0.864859938621521,-0.05697250738739967,0.2954632639884949,0.44613948464393616,1,-37.18599505817741,-37.18599505817741
-0.22427181899547577,1.4155242443084717,-0.872662365436554,-0.06328925490379333,0.31948307156562805,0.4803958833217621,1,-40.44052838113029,-40.44052838113029
-0.23282495141029358,1.4140880107879639,-0.8798402547836304,-0.06945597380399704,0.345084547996521,0.512029767036438,1,-43.78760536978922,-43.78760536978922
-0.24145761132240295,1.412522315979004,-0.8895856142044067,-0.07614216208457947,0.37282219529151917,0.5547529458999634,1,-47.6058866878906,-47.6058866878906
-0.2501598000526428,1.4108225107192993,-0.8980759382247925,-0.08309842646121979,0.40250280499458313,0.5936121344566345,1,-51.4931648365374,-51.4931648365374
-0.25892525911331177,1.4089906215667725,-0.9056956171989441,-0.09001842886209488,0.43396812677383423,0.6293073296546936,1,-55.46974057389255,-55.46974057389255
-0.2677825093269348,1.4070104360580444,-0.9168060421943665,-0.09799689799547195,0.46802836656570435,0.6812049746513367,1,-60.061012045815914,-60.061012045815914
-0.2767243981361389,1.4048758745193481,-0.9269667863845825,-0.10636408627033234,0.50458824634552,0.731198787689209,1,-64.80948605470812,-64.80948605470812
-0.2857288718223572,1.4026159048080444,-0.934068500995636,-0.11332861334085464,0.5428682565689087,0.7655998468399048,1,-69.40969945862315,-69.40969945862315
-0.2947966456413269,1.400233507156372,-0.9410750269889832,-0.12024108320474625,0.5828462839126587,0.7995609045028687,1,-74.16884472577541,-74.16884472577541
-0.3039378523826599,1.3977134227752686,-0.9492535591125488,-0.1280909776687622,0.6249151825904846,0.8413797616958618,1,-79.26370809549258,-79.26370809549258
